Año,precio_usuario_regulado,precio_usuario_no_regulado,precio_bolsa
2000,45.321761651423266,43.22089909140526,44.73768606557377
2001,55.87103974777249,49.52951100966429,52.47080931506849
2002,65.45285724645076,61.46170823979016,48.727755342465755
2003,76.29727320003362,67.41005094159067,66.72557397260275
2004,78.9480060231533,63.34721178900647,64.17013469945356
2005,76.53736386233571,62.30853450112868,74.35929315068493
2006,76.52042545975804,65.56618506884949,73.79373260273972
2007,81.84380309671313,71.02021658368824,83.77460876712328
2008,93.50605448922175,83.01670525645746,87.87534098360656
2009,113.64829398418927,95.92547207916013,139.27832246575343
2010,121.27841166133604,99.16169991815792,128.72220383561643
2011,132.1819708624496,101.82895968364119,75.07790684931507
2012,133.7086875089188,106.82727179443705,116.00038825136612
2013,139.83168234244965,112.89451633983023,177.35098246575342
2014,143.91951098155528,117.6298159674013,224.98384575342465
2015,156.03756229115422,129.02287403222252,378.1073726027397
2016,167.38427408703427,143.0803803845687,299.80003961748633
2017,177.87629525989468,154.71346248708687,106.10540575342466
2018,189.83777763133165,166.6769444153156,116.24882410958904
2019,205.38928208040417,183.5989155506724,228.3084397260274
2020,219.76845031729172,191.09488965045543,251.10084098360656
2021,248.92085395878146,214.15162040272105,150.0222484931507
2022,265.7915254312655,246.36467003863922,268.48760608695653
